subj_id,date,computer,experimenter,instructions,sight_radius,n_gabors,landscape_ix,landscape_name,starting_pos,starting_score,trial,feedback,pos,stims,selected,rt,score,delta,exp_time
GEMS100b,2018_Feb_27_1354,Kramer,XXX,orientation,8,6,0,OrientationBias,0-0,0,0,training,0-0,4-4;7-3;3-1;7-1;3-5;5-6,4-4,6.7,15,15,65.0222906154
GEMS100b,2018_Feb_27_1354,Kramer,XXX,orientation,8,6,0,OrientationBias,0-0,0,1,training,4-4,6-3;10-3;0-9;11-4;12-4;8-0,12-4,9.86,42,27,89.7364484755
GEMS100b,2018_Feb_27_1354,Kramer,XXX,orientation,8,6,0,OrientationBias,0-0,0,2,training,12-4,19-4;5-1;11-8;7-2;19-1;13-4,7-2,5.16,26,-16,103.962990562
GEMS100b,2018_Feb_27_1354,Kramer,XXX,orientation,8,6,0,OrientationBias,0-0,0,3,training,7-2,8-0;10-7;9-1;6-3;0-5;8-6,8-6,6.66,29,3,120.267384635
GEMS100b,2018_Feb_27_1354,Kramer,XXX,orientation,8,6,0,OrientationBias,0-0,0,4,training,8-6,1-3;13-9;11-4;7-3;6-5;11-2,11-4,5.17,39,10,131.829952354
GEMS100b,2018_Feb_27_1354,Kramer,XXX,orientation,8,6,0,OrientationBias,0-0,0,5,training,11-4,10-0;11-3;15-0;6-6;8-4;14-7,11-3,7.71,39,0,151.225812275
GEMS100b,2018_Feb_27_1354,Kramer,XXX,orientation,8,6,0,OrientationBias,0-0,0,6,training,11-3,16-7;8-2;4-2;10-10;18-3;5-3,8-2,5.94,29,-10,164.182039599
GEMS100b,2018_Feb_27_1354,Kramer,XXX,orientation,8,6,0,OrientationBias,0-0,0,7,training,8-2,8-5;12-0;3-3;0-2;9-0;4-4,8-5,4.75,29,0,174.781770081
GEMS100b,2018_Feb_27_1354,Kramer,XXX,orientation,8,6,0,OrientationBias,0-0,0,8,training,8-5,12-0;4-0;3-1;8-7;6-5;9-9,6-5,5.69,22,-7,186.793580541
GEMS100b,2018_Feb_27_1354,Kramer,XXX,orientation,8,6,0,OrientationBias,0-0,0,9,training,6-5,13-6;7-11;5-11;11-2;8-7;12-4,13-6,4.16,45,23,194.143816369
GEMS100b,2018_Feb_27_1354,Kramer,XXX,orientation,8,6,0,OrientationBias,0-0,0,10,training,13-6,16-2;7-5;14-12;17-9;13-6;13-0,7-5,4.7,26,-19,214.975911104
GEMS100b,2018_Feb_27_1354,Kramer,XXX,orientation,8,6,0,OrientationBias,0-0,0,11,training,7-5,3-3;3-4;2-4;0-4;12-0;1-3,3-3,5.07,11,-15,227.701488911
GEMS100b,2018_Feb_27_1354,Kramer,XXX,orientation,8,6,0,OrientationBias,0-0,0,12,training,3-3,2-10;6-9;3-10;6-7;5-2;3-5,5-2,1.54,19,8,232.100199258
GEMS100b,2018_Feb_27_1354,Kramer,XXX,orientation,8,6,0,OrientationBias,0-0,0,13,training,5-2,9-3;1-1;6-2;7-1;8-6;6-3,9-3,1.31,32,13,237.819379052
GEMS100b,2018_Feb_27_1354,Kramer,XXX,orientation,8,6,0,OrientationBias,0-0,0,14,training,9-3,6-6;3-4;4-2;6-9;8-9;7-6,3-4,4.62,11,-21,245.055720457
GEMS100b,2018_Feb_27_1354,Kramer,XXX,orientation,8,6,0,OrientationBias,0-0,0,15,training,3-4,8-7;4-2;8-0;4-4;4-10;7-9,4-10,1.59,15,4,258.02793481
GEMS100b,2018_Feb_27_1354,Kramer,XXX,orientation,8,6,0,OrientationBias,0-0,0,16,training,4-10,10-13;2-4;5-15;7-4;7-14;10-14,10-13,1.12,36,21,273.215132702
GEMS100b,2018_Feb_27_1354,Kramer,XXX,orientation,8,6,0,OrientationBias,0-0,0,17,training,10-13,10-15;11-9;6-16;6-7;7-14;4-18,4-18,3.63,15,-21,279.652741354
GEMS100b,2018_Feb_27_1354,Kramer,XXX,orientation,8,6,0,OrientationBias,0-0,0,18,training,4-18,11-15;5-12;0-19;9-15;7-20;10-16,11-15,1.91,39,24,285.667708889
GEMS100b,2018_Feb_27_1354,Kramer,XXX,orientation,8,6,0,OrientationBias,0-0,0,19,training,11-15,13-9;12-15;10-19;18-15;16-13;12-9,12-15,5.8,42,3,293.905285211
GEMS100b,2018_Feb_27_1354,Kramer,XXX,orientation,8,6,1,SimpleHill,0-0,0,0,selected,0-0,1-3;1-1;3-5;4-1;2-3;4-2,4-2,5.76,11,11,320.028403746
GEMS100b,2018_Feb_27_1354,Kramer,XXX,orientation,8,6,1,SimpleHill,0-0,0,1,selected,4-2,10-0;3-4;1-7;0-7;2-5;3-3,0-7,5.45,13,2,329.043037104
