subj_id,date,computer,experimenter,instructions,sight_radius,n_gabors,landscape_ix,landscape_name,starting_pos,starting_score,trial,feedback,pos,stims,selected,rt,score,delta,total
GEMS101a,2018_Feb_22_1110,Elaine,PME,spatial_frequency,8,6,0,SpatialFrequencyBias,5-5,10,0,training,5-5,2-10;4-1;4-7;10-1;0-7;10-4,4-7,1.51,14,4,
GEMS101a,2018_Feb_22_1110,Elaine,PME,spatial_frequency,8,6,0,SpatialFrequencyBias,5-5,10,1,training,4-7,8-5;8-2;0-9;9-3;7-2;1-11,8-5,1.09,9,-5,
GEMS101a,2018_Feb_22_1110,Elaine,PME,spatial_frequency,8,6,0,SpatialFrequencyBias,5-5,10,2,training,8-5,6-11;10-9;10-12;5-10;14-9;6-7,14-9,3.18,16,7,
GEMS101a,2018_Feb_22_1110,Elaine,PME,spatial_frequency,8,6,0,SpatialFrequencyBias,5-5,10,3,training,14-9,9-8;9-9;13-2;19-8;13-9;11-9,11-9,2.67,14,-2,
GEMS101a,2018_Feb_22_1110,Elaine,PME,spatial_frequency,8,6,0,SpatialFrequencyBias,5-5,10,4,training,11-9,5-9;11-17;9-14;11-14;5-13;11-2,9-14,2.09,22,8,
GEMS101a,2018_Feb_22_1110,Elaine,PME,spatial_frequency,8,6,0,SpatialFrequencyBias,5-5,10,5,training,9-14,5-20;15-12;5-12;15-10;7-11;9-18,15-12,0.84,22,0,
GEMS101a,2018_Feb_22_1110,Elaine,PME,spatial_frequency,8,6,0,SpatialFrequencyBias,5-5,10,6,training,15-12,17-5;9-7;17-9;20-18;21-12;10-10,17-9,1.56,15,-7,
GEMS101a,2018_Feb_22_1110,Elaine,PME,spatial_frequency,8,6,0,SpatialFrequencyBias,5-5,10,7,training,17-9,21-12;18-14;21-7;18-11;18-13;18-9,18-14,3.07,22,7,
GEMS101a,2018_Feb_22_1110,Elaine,PME,spatial_frequency,8,6,0,SpatialFrequencyBias,5-5,10,8,training,18-14,12-10;15-9;25-13;12-19;20-14;13-19,12-19,1.08,31,9,
GEMS101a,2018_Feb_22_1110,Elaine,PME,spatial_frequency,8,6,0,SpatialFrequencyBias,5-5,10,9,training,12-19,11-21;11-16;14-16;8-13;12-12;8-17,11-21,1.04,33,2,
GEMS101a,2018_Feb_22_1110,Elaine,PME,spatial_frequency,8,6,0,SpatialFrequencyBias,5-5,10,10,training,11-21,11-29;12-22;11-23;16-15;18-19;15-21,16-15,3.01,26,-7,
GEMS101a,2018_Feb_22_1110,Elaine,PME,spatial_frequency,8,6,0,SpatialFrequencyBias,5-5,10,11,training,16-15,24-15;10-19;19-18;14-11;11-11;18-8,10-19,0.65,28,2,
GEMS101a,2018_Feb_22_1110,Elaine,PME,spatial_frequency,8,6,0,SpatialFrequencyBias,5-5,10,12,training,10-19,6-25;11-26;6-14;15-25;9-26;16-15,15-25,0.86,37,9,
GEMS101a,2018_Feb_22_1110,Elaine,PME,spatial_frequency,8,6,0,SpatialFrequencyBias,5-5,10,13,training,15-25,18-27;17-24;13-19;16-18;9-27;21-22,17-24,0.67,37,0,
GEMS101a,2018_Feb_22_1110,Elaine,PME,spatial_frequency,8,6,0,SpatialFrequencyBias,5-5,10,14,training,17-24,21-24;15-21;22-21;17-21;20-30;12-30,20-30,1.29,43,6,
GEMS101a,2018_Feb_22_1110,Elaine,PME,spatial_frequency,8,6,0,SpatialFrequencyBias,5-5,10,15,training,20-30,26-34;20-27;15-33;23-23;21-28;23-29,26-34,1.94,44,1,
GEMS101a,2018_Feb_22_1110,Elaine,PME,spatial_frequency,8,6,0,SpatialFrequencyBias,5-5,10,16,training,26-34,21-39;26-27;24-27;22-32;25-36;30-40,24-27,1.08,38,-6,
GEMS101a,2018_Feb_22_1110,Elaine,PME,spatial_frequency,8,6,0,SpatialFrequencyBias,5-5,10,17,training,24-27,25-31;22-33;20-30;19-23;29-33;31-24,29-33,1.51,43,5,
GEMS101a,2018_Feb_22_1110,Elaine,PME,spatial_frequency,8,6,0,SpatialFrequencyBias,5-5,10,18,training,29-33,36-30;29-36;22-30;29-38;32-39;22-31,32-39,4.52,47,4,
GEMS101a,2018_Feb_22_1110,Elaine,PME,spatial_frequency,8,6,0,SpatialFrequencyBias,5-5,10,19,training,32-39,25-36;25-39;28-36;29-37;35-45;27-40,35-45,2.21,47,0,
GEMS101a,2018_Feb_22_1110,Elaine,PME,spatial_frequency,8,6,0,SpatialFrequencyBias,5-5,10,20,training,35-45,43-45;32-44;30-51;31-47;33-38;40-50,40-50,2.27,50,3,
GEMS101a,2018_Feb_22_1110,Elaine,PME,spatial_frequency,8,6,0,SpatialFrequencyBias,5-5,10,21,training,40-50,35-44;36-45;42-53;45-49;41-47;32-50,32-50,2.84,49,-1,
GEMS101a,2018_Feb_22_1110,Elaine,PME,spatial_frequency,8,6,0,SpatialFrequencyBias,5-5,10,22,training,32-50,32-52;28-47;34-46;37-45;37-53;36-51,37-45,0.98,49,0,
GEMS101a,2018_Feb_22_1110,Elaine,PME,spatial_frequency,8,6,0,SpatialFrequencyBias,5-5,10,23,training,37-45,31-49;35-45;34-42;42-44;36-51;38-43,31-49,1.74,48,-1,
GEMS101a,2018_Feb_22_1110,Elaine,PME,spatial_frequency,8,6,0,SpatialFrequencyBias,5-5,10,24,training,31-49,31-43;35-48;26-45;36-54;36-43;38-47,36-54,0.84,48,0,
GEMS101a,2018_Feb_22_1110,Elaine,PME,spatial_frequency,8,6,1,SimpleHill,5-5,20,0,selected,5-5,2-10;4-1;4-7;10-1;0-7;10-4,4-7,2.3,21,1,
