subj_id,date,computer,experimenter,instructions,sight_radius,n_gabors,start_pos_list_ix,start_pos_list,landscape_ix,landscape_name,starting_pos,starting_score,trial,feedback,pos,stims,selected,rt,score,delta,exp_time
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,0,SpatialFrequencyBias,0-0,0,0,training,0-0,3-0;5-5;6-0;4-6;0-0;0-2,5-5,15.26,19,19,353.169246666
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,0,SpatialFrequencyBias,0-0,0,1,training,5-5,4-7;9-4;4-0;13-5;0-3;0-0,0-3,8.13,11,-8,379.895369446
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,0,SpatialFrequencyBias,0-0,0,2,training,0-3,0-10;6-7;5-8;7-0;3-6;7-2,3-6,9.74,22,11,403.094283244
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,0,SpatialFrequencyBias,0-0,0,3,training,3-6,6-8;1-4;3-3;4-2;11-6;0-3,4-2,7.41,7,-15,417.429894462
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,0,SpatialFrequencyBias,0-0,0,4,training,4-2,8-8;0-1;1-1;4-4;4-0;6-3,8-8,7.19,29,22,432.030914533
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,0,SpatialFrequencyBias,0-0,0,5,training,8-8,14-10;2-11;8-13;12-14;3-6;5-14,3-6,7.62,22,-7,445.104934322
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,0,SpatialFrequencyBias,0-0,0,6,training,3-6,3-7;6-4;8-11;7-12;5-11;4-2,6-4,4.74,15,-7,456.026988919
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,0,SpatialFrequencyBias,0-0,0,7,training,6-4,3-8;5-5;8-11;10-10;11-7;7-1,8-11,4.18,39,24,466.43922964
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,0,SpatialFrequencyBias,0-0,0,8,training,8-11,7-17;8-17;14-7;12-11;5-10;4-17,12-11,9.8,39,0,480.263402833
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,0,SpatialFrequencyBias,0-0,0,9,training,12-11,12-15;12-16;18-15;8-15;7-17;16-6,16-6,8.77,22,-17,494.278663563
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,0,SpatialFrequencyBias,0-0,0,10,training,16-6,20-9;10-8;19-10;13-12;10-10;10-5,10-10,4.94,36,14,508.75138512
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,0,SpatialFrequencyBias,0-0,0,11,training,10-10,14-8;4-13;12-6;9-17;11-10;3-8,9-17,6.57,56,20,520.203777604
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,0,SpatialFrequencyBias,0-0,0,12,training,9-17,6-12;8-10;4-12;2-16;5-13;9-17,9-17,4.73,56,0,528.761825257
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,0,SpatialFrequencyBias,0-0,0,13,training,9-17,13-23;14-13;12-22;11-19;5-21;6-13,14-13,8.97,45,-11,542.097034439
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,0,SpatialFrequencyBias,0-0,0,14,training,14-13,16-10;7-15;13-10;17-13;16-17;12-8,16-17,4.54,56,11,551.816519461
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,0,SpatialFrequencyBias,0-0,0,15,training,16-17,12-15;22-21;23-19;19-22;18-24;13-16,22-21,6.24,66,10,562.078872391
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,0,SpatialFrequencyBias,0-0,0,16,training,22-21,27-20;27-23;29-24;25-16;22-14;28-22,29-24,5.14,72,6,571.617363353
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,0,SpatialFrequencyBias,0-0,0,17,training,29-24,26-25;31-23;33-25;23-22;28-24;23-21,28-24,6.15,72,0,581.977167802
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,0,SpatialFrequencyBias,0-0,0,18,training,28-24,25-21;32-26;27-24;25-23;30-30;33-24,25-21,3.63,66,-6,592.393170571
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,0,SpatialFrequencyBias,0-0,0,19,training,25-21,25-20;24-16;22-22;20-15;20-19;25-22,22-22,4.07,68,2,603.248607838
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,0,SpatialFrequencyBias,0-0,0,20,training,22-22,25-15;18-16;25-25;27-23;22-14;18-22,27-23,4.66,70,2,612.625731851
GEMS126,2018_Mar_07_1228,Elaine,sf,spatial_frequency,8,6,0,0-0;0-0;0-0;0-0,0,SpatialFrequencyBias,0-0,0,21,training,27-23,28-21;20-20;24-16;28-24;34-26;31-26,31-26,3.56,76,6,620.855370688
