subj_id,date,computer,experimenter,version,generation,inherit_from,sight_radius,n_gabors,block_ix,landscape_name,starting_pos,starting_score,trial,pos,stims,selected,rt,score,delta,exp_time,landscape_ix
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,0,0-0,4-3;2-6;8-0;7-4;2-9;2-7,2-6,2.96,16,15,113.918844069,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,1,2-6,5-14;10-4;2-12;4-8;3-7;10-1,2-12,1.77,26,10,119.796817128,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,2,2-12,2-19;6-12;6-13;11-8;4-7;1-21,2-19,1.49,35,9,125.356638734,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,3,2-19,3-17;8-26;9-14;0-14;6-16;8-17,8-26,2.38,54,19,131.825176043,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,4,8-26,1-28;11-31;6-17;5-32;13-30;11-22,5-32,5.27,54,0,141.219369629,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,5,5-32,9-32;6-33;9-27;13-30;7-40;0-38,9-27,3.41,56,2,148.681447471,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,6,9-27,4-25;3-28;5-26;6-35;18-24;14-25,3-28,1.04,47,-9,153.803822673,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,7,3-28,4-23;8-35;5-28;4-31;3-32;9-34,9-34,2.53,62,15,160.396227134,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,8,9-34,4-26;15-37;10-36;8-37;18-36;11-32,15-37,1.37,73,11,165.826870933,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,9,15-37,13-37;9-31;12-41;21-45;15-36;13-36,15-36,3.49,72,-1,173.395241569,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,10,15-36,19-27;18-28;17-45;20-40;10-28;12-39,17-45,1.64,78,6,179.10565453,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,11,17-45,12-48;11-49;19-38;25-50;22-43;15-49,19-38,1.05,78,0,184.220303019,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,12,19-38,14-46;19-35;14-40;18-30;22-38;14-45,14-45,3.75,74,-4,192.048179362,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,13,14-45,19-45;4-45;12-51;23-48;13-37;18-36,13-37,4.67,70,-4,200.79837918,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,14,13-37,10-30;11-32;9-45;7-38;19-43;12-28,19-43,3.0,80,10,207.876632512,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,15,19-43,17-39;26-38;19-33;15-39;13-43;12-48,12-48,4.54,72,-8,216.478087908,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,16,12-48,13-48;13-45;15-56;15-42;8-51;9-49,13-45,5.92,73,1,226.478356146,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,17,13-45,15-54;14-49;17-39;13-53;21-46;8-46,21-46,3.12,83,10,233.665360583,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,18,21-46,29-47;23-53;22-44;27-53;15-45;14-41,27-53,5.57,90,7,243.315749159,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,19,27-53,20-49;29-44;26-56;26-47;26-60;32-58,26-47,6.82,89,-1,254.208966303,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,20,26-47,20-49;33-52;23-51;29-52;22-46;32-51,32-51,8.23,94,5,266.520984784,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,21,32-51,36-44;24-49;40-56;25-56;40-51;32-61,32-61,2.99,92,-2,273.567797351,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,22,32-61,32-64;40-60;38-60;39-68;33-65;27-58,40-60,5.5,97,5,283.141704307,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,23,40-60,32-66;37-69;31-61;42-51;49-63;44-61,44-61,7.8,97,0,295.007882598,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,24,44-61,46-68;47-67;40-68;47-57;44-53;43-57,43-57,4.63,99,2,303.71504598,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,25,43-57,51-57;41-48;43-67;41-55;34-53;47-57,47-57,3.7,99,0,311.499560353,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,26,47-57,50-54;42-63;49-56;49-65;41-62;55-52,42-63,5.04,96,-3,320.619923453,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,27,42-63,42-64;44-61;42-63;50-65;49-67;51-63,42-63,2.45,96,0,327.14465684,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,28,42-63,34-57;44-64;42-53;44-57;36-70;34-64,42-53,2.46,99,3,333.660234301,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,29,42-53,42-46;41-60;34-58;38-62;33-56;35-56,38-62,4.33,95,-4,342.068142891,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,30,38-62,30-60;43-61;42-60;38-54;29-61;39-54,43-61,5.27,97,2,351.394468866,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,31,43-61,43-69;50-55;36-61;44-52;44-54;47-52,47-52,4.18,100,3,359.655081452,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,32,47-52,51-60;51-52;55-47;55-51;46-56;43-61,46-56,3.62,99,-1,367.347636133,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,33,46-56,39-56;43-60;55-54;44-65;49-53;45-50,43-60,2.46,98,-1,373.883731523,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,34,43-60,40-58;44-66;49-68;51-61;34-61;46-58,49-68,1.57,94,-4,379.534579112,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,35,49-68,44-70;55-63;56-70;48-69;43-60;54-67,48-69,4.14,93,-1,387.730226686,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,36,48-69,54-66;45-60;46-64;47-65;49-63;41-65,41-65,4.01,94,1,395.829995356,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,37,41-65,41-69;34-62;32-68;45-59;51-65;42-69,42-69,4.14,92,-2,404.041110439,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,38,42-69,47-62;45-63;34-66;33-68;36-66;48-67,34-66,3.48,90,-2,411.592866675,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,39,34-66,38-66;44-66;27-61;37-68;40-64;38-70,37-68,6.51,91,1,422.168129543,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,40,37-68,36-70;38-67;41-62;36-68;42-70;40-67,36-68,1.23,90,-1,427.483891505,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,41,36-68,37-68;40-70;39-67;42-63;44-62;31-60,42-63,0.78,96,6,432.334494096,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,42,42-63,46-66;51-60;37-63;47-57;38-62;48-56,37-63,3.49,94,-2,439.891481923,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,43,37-63,29-64;35-55;35-60;43-61;31-64;35-67,31-64,8.09,89,-5,452.051809851,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,44,31-64,38-66;38-60;22-65;31-66;25-65;33-67,38-60,3.99,96,7,460.111529508,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,45,38-60,37-60;33-57;32-56;35-53;47-59;44-59,32-56,7.01,93,-3,471.194969618,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,46,32-56,39-60;24-62;29-49;39-63;33-61;33-59,39-63,4.0,95,2,479.262759127,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,47,39-63,47-63;46-69;44-65;48-65;41-66;36-67,46-69,12.35,93,-2,495.681470518,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,48,46-69,50-63;49-67;51-63;54-63;47-61;45-63,47-61,5.36,98,5,505.135992897,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,49,47-61,50-58;46-67;56-59;48-69;54-63;45-53,46-67,11.02,94,-4,520.227924101,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,50,46-67,40-67;53-66;49-70;50-68;49-60;40-63,50-68,0.87,94,0,525.163093207,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,51,50-68,54-69;48-70;44-60;57-70;55-63;46-62,44-60,1.06,98,4,530.296805765,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,52,44-60,50-56;44-54;44-53;47-65;42-53;48-58,42-53,0.77,99,1,535.196439163,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,53,42-53,39-47;46-55;41-49;43-58;47-58;41-53,39-47,2.25,98,-1,541.519261726,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,54,39-47,38-46;44-51;32-46;35-46;46-53;34-48,44-51,0.59,100,2,546.168901606,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,55,44-51,50-49;39-53;36-50;40-48;50-56;41-47,36-50,0.47,97,-3,550.730269579,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,56,36-50,38-46;29-45;31-43;34-59;44-49;34-50,31-43,5.29,92,-5,560.104266609,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,57,31-43,31-35;27-42;29-36;39-37;33-34;26-42,39-37,3.86,95,3,568.027103192,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,58,39-37,42-37;40-42;44-42;34-33;44-29;41-28,42-37,8.58,96,1,580.678963553,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,59,42-37,43-40;37-38;34-43;43-41;44-36;49-42,44-36,3.76,96,0,588.515591865,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,60,44-36,53-36;39-38;49-44;39-39;40-29;49-34,49-34,7.23,95,-1,599.818524841,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,61,49-34,51-25;49-42;49-32;49-38;53-37;49-44,49-38,0.89,98,3,604.777707926,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,62,49-38,52-45;51-47;58-40;42-45;50-33;53-37,53-37,5.48,97,-1,614.327246241,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,63,53-37,46-31;60-30;55-36;53-43;44-34;57-31,55-36,1.98,96,-1,620.392549591,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,64,55-36,61-40;63-42;57-40;62-39;52-27;54-35,61-40,3.07,96,0,627.531191253,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,65,61-40,61-37;69-42;59-48;66-36;64-41;60-35,64-41,3.63,95,-1,635.247919959,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,66,64-41,57-35;63-42;65-47;67-50;58-33;60-34,67-50,1.28,95,0,640.602364779,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,67,67-50,66-44;67-53;69-56;69-52;61-55;65-55,69-52,0.52,93,-2,645.186221811,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,68,69-52,68-59;63-59;65-61;70-49;63-54;68-57,65-61,1.79,94,1,651.046776717,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,69,65-61,66-70;65-58;57-63;66-66;68-63;68-70,66-66,2.05,90,-4,657.185336115,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,70,66-66,69-60;67-70;64-66;58-67;65-65;58-65,65-65,4.27,92,2,665.531155083,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,71,65-65,59-69;56-63;65-66;66-64;68-58;64-63,66-64,6.61,91,-1,676.208409662,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,72,66-64,58-63;66-54;64-59;59-59;60-67;62-58,62-58,3.67,96,5,683.955645744,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,73,62-58,60-65;62-63;55-61;65-62;66-55;54-53,62-63,8.56,94,-2,696.586885747,1
GEMS243,2018_Oct_31_1221,Elaine,AG,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,74,62-63,61-68;68-59;57-68;64-70;69-66;53-62,64-70,1.0,89,-5,701.64939789,1
