subj_id,date,computer,experimenter,version,generation,inherit_from,sight_radius,n_gabors,block_ix,landscape_name,starting_pos,starting_score,trial,pos,stims,selected,rt,score,delta,exp_time,landscape_ix
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,0,0-0,5-1;1-0;7-7;6-2;2-3;5-7,Jan-00,15.21,2,1,799.7054762,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,1,Jan-00,3-6;4-1;2-6;6-7;6-0;7-5,7-Jun,7.04,25,23,810.8335149000002,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,2,7-Jun,0-4;9-5;12-4;8-0;3-13;14-10,14-10,1.97,43,18,816.8707699,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,3,14-10,18-11;9-18;13-3;15-10;13-5;14-16,18-11,2.63,50,7,823.5555524,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,4,18-11,18-9;13-4;14-18;26-10;21-16;27-8,14-18,4.27,54,4,831.8847826,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,5,14-18,6-12;14-28;23-16;8-25;16-21;20-23,12-Jun,3.67,33,-21,839.6310041000003,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,6,12-Jun,4-13;10-12;14-11;8-17;7-12;3-18,14-11,5.28,44,11,848.9676479,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,7,14-11,15-14;18-15;9-15;12-9;22-12;22-14,22-12,3.94,56,12,856.9744835000001,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,8,22-12,19-21;16-16;23-21;18-12;25-17;24-13,24-13,3.0,60,4,864.0316667999998,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,9,24-13,22-14;28-15;22-12;23-18;20-5;17-10,28-15,3.96,66,6,872.0635557,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,10,28-15,24-15;31-9;24-9;34-13;21-18;29-7,24-9,3.31,53,-13,879.4444345,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,11,24-9,19-5;32-7;19-1;23-13;25-9;28-18,28-18,3.05,70,17,886.6166796,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,12,28-18,30-20;32-16;25-20;26-26;33-16;35-11,26-26,3.49,77,7,894.1823614,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,13,26-26,30-28;24-26;29-22;21-19;33-26;28-35,21-19,4.67,64,-13,902.9104006,1
GEMS253,2018_Oct_31_1732,Kramer,AG,1.3,2,GEMS229,10,6,1,SimpleHill,0-0,1,14,21-19,18-16;30-16;28-16;17-20;27-17;23-11,18-16,2.39,57,-7,909.3694274,1
