subj_id,date,computer,experimenter,version,generation,inherit_from,sight_radius,n_gabors,block_ix,landscape_name,starting_pos,starting_score,trial,pos,stims,selected,rt,score,delta,exp_time,landscape_ix
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,0,0-0,7-5;1-9;4-3;1-8;4-2;8-4,2-Apr,3.99,12,11,193.890782,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,1,2-Apr,10-4;1-10;0-4;2-2;10-0;5-5,5-May,7.69,20,8,205.6387374,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,2,5-May,9-7;9-1;9-0;14-7;5-12;6-11,14-7,2.66,38,18,212.3668626,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,3,14-7,14-16;10-1;14-13;19-9;23-4;16-15,16-15,5.33,53,15,221.7689503,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,4,16-15,11-9;18-12;16-6;14-6;23-19;14-18,23-19,3.27,67,14,229.1099418,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,5,23-19,21-14;24-21;24-15;26-18;26-17;16-16,24-21,2.93,70,3,236.091628,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,6,24-21,17-24;31-19;17-27;32-26;25-19;20-18,32-26,3.9,83,13,244.0518162,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,7,32-26,36-32;25-27;24-20;30-30;38-29;28-28,38-29,5.83,89,6,253.9629074,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,8,38-29,47-29;42-25;33-24;43-24;36-28;33-35,47-29,3.27,92,3,261.2779563,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,9,47-29,45-21;39-30;46-29;42-34;53-30;43-34,53-30,3.28,92,0,268.6315882,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,10,53-30,55-37;47-31;56-37;53-38;45-30;56-33,45-30,5.01,92,0,277.6995419,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,11,45-30,36-32;35-30;39-27;51-22;48-23;50-24,51-22,6.84,85,-7,288.6063265,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,12,51-22,57-25;55-30;47-18;49-30;59-27;44-21,59-27,2.97,88,3,295.6360323,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,13,59-27,55-29;56-29;68-30;58-19;63-27;51-29,56-29,4.8,91,3,304.503615,1
GEMS274,2018_Nov_09_2006,George,SR,1.4,2,GEMS218,10,6,1,SimpleHill,0-0,1,14,56-29,63-27;48-24;49-28;62-37;53-22;60-27,53-22,3.41,85,-6,311.9891431,1
