subj_id,date,computer,experimenter,version,generation,inherit_from,sight_radius,n_gabors,block_ix,landscape_name,starting_pos,starting_score,trial,pos,stims,selected,rt,score,delta,exp_time,landscape_ix
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,0,0-0,0-10;2-9;6-5;4-6;4-7;2-6,5-Jun,9.0,21,20,205.7196941,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,1,5-Jun,1-8;14-5;13-7;12-1;2-9;6-14,14-Jun,25.14,36,15,234.94947689999998,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,2,14-Jun,10-10;0-10;0-19;4-18;6-14;3-9,9-Mar,10.7,23,-13,249.7228451,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,3,9-Mar,6-7;0-8;10-12;12-9;11-8;9-7,0-8,7.88,15,-8,261.6852543,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,4,0-8,8-6;2-14;3-6;5-6;7-4;3-2,4-Jul,13.64,21,6,279.38844,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,5,4-Jul,11-10;6-0;13-6;8-11;3-5;2-6,Jun-00,4.34,12,-9,287.79725,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,6,Jun-00,11-2;3-3;3-2;1-6;9-1;2-7,1-Sep,28.95,19,7,320.8121814,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,7,1-Sep,14-7;1-3;18-4;5-8;7-0;17-3,18-4,2.0,38,19,326.86598389999995,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,8,18-4,23-11;18-1;16-0;9-5;17-11;18-4,18-4,21.43,38,0,352.3869772,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,9,18-4,12-8;23-6;25-10;17-1;26-2;22-7,23-6,8.1,47,9,364.571187,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,10,23-6,29-6;21-1;30-10;15-8;21-14;22-2,22-2,18.24,39,-8,386.87323139999995,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,11,22-2,28-1;28-9;25-6;13-0;17-0;28-3,13-0,8.05,23,-16,399.0596387,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,12,13-0,5-0;19-3;8-6;13-6;22-0;16-5,19-3,12.16,37,14,415.275872,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,13,19-3,19-11;27-0;16-10;24-3;25-4;23-11,19-11,21.5,51,14,440.84743770000006,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,14,19-11,21-11;21-14;24-9;12-13;25-9;22-10,21-11,16.96,53,2,461.86992680000003,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,15,21-11,25-5;24-7;22-12;23-3;23-19;21-17,22-12,11.39,56,3,477.33076370000003,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,16,22-12,26-17;21-6;28-6;14-14;20-14;23-18,26-17,11.52,67,11,492.9413145,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,17,26-17,29-11;22-21;19-23;24-8;29-17;33-21,33-21,23.15,78,11,520.1451093000001,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,18,33-21,26-22;37-18;30-30;33-27;34-18;38-23,30-30,27.28,85,7,551.4734957000001,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,19,30-30,37-28;29-37;21-32;29-38;34-31;24-25,29-37,17.33,88,3,572.8652355,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,20,29-37,26-36;37-42;29-31;31-31;24-35;30-45,30-45,6.19,92,4,583.1305354,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,21,30-45,33-43;38-48;36-41;31-39;39-47;23-39,39-47,23.1,98,6,610.2808709,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,22,39-47,41-40;35-53;31-48;41-48;39-49;35-55,35-55,10.57,96,-2,624.9369305,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,23,35-55,33-55;39-53;36-61;29-60;36-57;32-62,39-53,16.32,98,2,645.3233305,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,24,39-53,37-51;34-47;43-60;41-56;42-48;45-52,43-60,7.84,98,0,657.2453815,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,25,43-60,41-68;52-59;41-59;41-56;47-56;49-59,41-68,1.65,92,-6,662.9753297999999,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,26,41-68,37-70;39-61;41-67;46-61;36-66;47-66,46-61,3.34,98,6,670.3913477000001,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,27,46-61,48-53;44-64;56-61;41-65;55-63;54-57,56-61,19.83,97,-1,694.2990844999999,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,28,56-61,57-52;48-58;52-55;63-58;54-58;50-61,50-61,3.43,98,1,701.799353,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,29,50-61,57-62;43-55;54-63;47-63;43-67;55-62,47-63,10.35,97,-1,716.2173984,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,30,47-63,44-62;41-62;53-59;41-69;53-57;42-59,41-69,2.95,92,-5,723.2350832000001,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,31,41-69,38-65;33-68;40-70;35-62;34-67;45-65,40-70,1.47,91,-1,728.7665614,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,32,40-70,38-69;42-64;48-69;34-65;42-68;34-67,38-69,2.61,90,-1,735.4479147999999,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,33,38-69,37-68;37-67;41-62;41-67;42-68;30-70,30-70,4.26,85,-5,743.7584311,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,34,30-70,24-64;24-67;36-69;34-67;29-70;29-68,36-69,6.05,89,4,753.8661282,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,35,36-69,36-65;42-62;39-64;32-61;40-61;35-63,32-61,2.04,92,3,759.9822012,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,36,32-61,34-53;26-61;26-67;29-61;26-63;24-61,26-63,8.26,86,-6,772.3135911,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,37,26-63,32-66;22-62;26-58;24-66;20-70;31-58,26-58,1.63,88,2,778.0189866000001,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,38,26-58,24-50;34-62;21-65;31-52;19-63;34-58,34-62,4.63,93,5,786.7164788,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,39,34-62,38-59;41-67;33-65;32-54;38-69;36-62,41-67,8.27,93,0,799.0536322,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,40,41-67,41-65;39-67;46-63;46-64;36-64;39-60,39-60,2.29,96,3,805.3844984,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,41,39-60,36-60;39-57;30-56;32-62;33-66;33-58,33-66,3.63,90,-6,813.0793452,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,42,33-66,31-69;36-58;26-61;29-69;40-59;30-63,40-59,4.99,97,7,822.1391575,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,43,40-59,40-65;34-60;45-65;43-66;36-67;38-55,45-65,6.46,96,-1,832.6659956,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,44,45-65,54-62;45-57;41-59;47-68;42-68;45-55,54-62,5.49,97,1,842.2110442,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,45,54-62,56-56;62-57;60-69;47-68;59-59;59-56,56-56,7.89,99,2,854.1569137,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,46,56-56,58-61;50-52;52-53;56-48;52-54;60-48,58-61,10.76,97,-2,868.9869604,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,47,58-61,56-52;63-68;57-67;54-56;56-54;57-70,63-68,10.24,91,-6,883.3796806,1
GEMS275,2018_Nov_09_2040,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,48,63-68,69-70;67-62;69-63;61-66;61-70;60-67,61-66,8.88,93,2,896.3172177000001,1
