subj_id,date,computer,experimenter,version,generation,inherit_from,sight_radius,n_gabors,block_ix,landscape_name,starting_pos,starting_score,trial,pos,stims,selected,rt,score,delta,exp_time,landscape_ix
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,0,0-0,5-1;6-8;4-8;3-1;1-2;1-7,1-Mar,9.01,8,7,319.4255656,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,1,1-Mar,9-4;3-5;7-2;1-8;0-7;5-9,2-Jul,10.12,17,9,333.6391488,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,2,2-Jul,16-3;4-5;15-8;12-6;11-3;16-2,16-2,8.1,31,14,345.7961185,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,3,16-2,20-10;7-5;7-1;8-6;24-3;20-0,20-0,9.27,33,2,359.1439835,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,4,20-0,18-7;16-7;24-6;17-0;14-7;17-6,14-7,6.12,38,5,369.3461346,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,5,14-7,17-5;16-11;6-1;8-15;14-3;18-16,15-Aug,2.5,41,3,375.9043652,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,6,15-Aug,12-12;7-22;4-11;4-17;10-6;12-8,8-Dec,1.68,36,-5,381.64467010000004,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,7,8-Dec,15-2;11-7;13-14;6-12;12-10;20-8,13-14,2.82,47,11,388.5202452,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,8,13-14,18-10;12-22;7-19;6-21;16-6;21-18,19-Jul,4.15,44,-3,396.74913369999996,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,9,19-Jul,6-16;10-21;8-25;5-22;0-12;6-18,22-May,4.15,44,0,404.98407349999997,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,10,22-May,14-21;9-25;9-23;2-28;6-28;5-28,28-May,2.96,50,6,412.0057105,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,11,28-May,1-26;9-25;12-21;6-35;1-34;1-20,26-Jan,2.6,41,-9,418.7375562,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,12,26-Jan,5-35;2-35;1-28;5-25;5-30;4-19,25-May,4.13,48,7,426.93404100000004,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,13,25-May,11-31;2-34;0-27;7-34;10-29;5-25,Jul-34,4.94,58,10,435.938215,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,14,Jul-34,4-26;1-34;12-28;2-27;17-34;5-35,17-34,7.11,74,16,447.1098008,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,15,17-34,17-31;13-41;15-38;20-43;11-40;13-34,Nov-40,27.31,68,-6,478.5007397,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,16,Nov-40,16-47;19-42;13-38;16-35;6-42;13-42,13-38,3.13,70,2,485.7106601,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,17,13-38,11-43;10-33;6-44;14-45;8-39;9-42,Oct-33,2.61,63,-7,492.37950839999996,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,18,Oct-33,18-33;4-26;12-28;4-40;14-29;9-28,28-Sep,1.79,57,-6,498.24864299999996,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,19,28-Sep,1-30;15-36;17-29;11-23;8-21;16-30,17-29,2.98,70,13,505.30299410000003,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,20,17-29,19-31;19-33;22-21;17-28;22-23;12-31,17-28,9.8,69,-1,519.1617243,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,21,17-28,24-27;17-27;11-32;10-27;17-35;18-23,17-35,1.87,74,5,525.1150916,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,22,17-35,18-29;9-36;11-28;16-35;13-43;19-26,13-43,11.57,72,-2,540.7611208,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,23,13-43,12-37;14-35;18-43;14-34;4-39;14-37,18-43,9.26,79,7,554.0984768999999,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,24,18-43,23-35;17-40;9-40;22-40;21-38;16-52,17-40,9.99,77,-2,568.1434045,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,25,17-40,13-31;24-44;21-38;26-41;24-47;23-47,24-47,2.5,87,10,574.7071497000001,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,26,24-47,16-42;16-51;15-44;19-43;31-50;28-43,15-44,3.9,75,-12,582.6954352000001,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,27,15-44,14-45;20-48;13-45;14-49;20-43;23-46,23-46,3.3,86,11,590.0600312000001,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,28,23-46,25-41;30-45;23-48;21-48;26-42;31-48,21-48,4.13,84,-2,598.2462612,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,29,21-48,20-47;20-45;28-42;19-39;25-56;28-48,20-47,6.16,82,-2,608.4568364,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,30,20-47,17-39;13-41;21-53;28-53;17-45;20-47,17-45,2.82,78,-4,615.3506988,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,31,17-45,18-46;24-40;22-46;12-50;22-47;16-49,22-46,2.08,85,7,621.5239177,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,32,22-46,18-52;17-39;18-55;19-55;27-48;22-55,18-55,0.78,80,-5,626.3661631,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,33,18-55,25-56;20-52;14-51;15-59;11-52;22-63,15-59,2.04,74,-6,632.4920015,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,34,15-59,22-57;9-62;22-63;11-68;9-67;20-53,Sep-67,5.63,61,-13,642.2001899,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,35,Sep-67,9-68;11-61;13-59;5-62;5-70;15-66,13-59,3.79,72,11,650.0526207,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,36,13-59,7-67;8-60;21-64;7-59;18-52;16-50,21-64,4.07,80,8,658.1924062,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,37,21-64,16-62;18-55;28-64;13-70;24-60;22-59,28-64,4.07,87,7,666.3392107000001,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,38,28-64,22-67;28-62;22-62;33-56;26-61;27-61,28-62,7.84,88,1,678.2603609,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,39,28-62,32-57;33-67;30-63;24-66;25-58;19-61,32-57,12.17,93,5,694.5043168,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,40,32-57,25-50;26-50;36-58;27-49;35-62;28-54,35-62,9.49,93,0,708.0667672000001,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,41,35-62,28-60;30-66;35-53;26-59;31-57;32-66,32-66,7.45,89,-4,719.5998804999999,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,42,32-66,28-70;25-60;35-65;41-68;30-63;29-62,28-70,5.57,83,-6,729.2315423,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,43,28-70,30-64;36-67;37-68;32-61;29-63;22-64,37-68,8.93,91,8,742.2302107,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,44,37-68,40-65;46-68;28-70;42-68;38-65;42-61,28-70,6.48,83,-8,752.7709422,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,45,28-70,28-67;22-62;28-66;29-62;21-65;22-70,29-62,5.69,89,6,762.5372342000001,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,46,29-62,25-61;36-64;35-60;32-66;23-62;33-61,35-60,4.95,94,5,771.5591927999999,1
GEMS277,2018_Nov_09_2118,Kramer,SR,1.3,2,GEMS218,10,6,1,SimpleHill,0-0,1,47,35-60,30-67;43-55;28-66;34-69;38-51;41-54,34-69,2.76,88,-6,778.3948204,1
