simulation_type,subj_id,sight_radius,n_gabors,block_ix,landscape_name,starting_pos,starting_score,trial,pos,stims,selected,score,delta
random,random_robot_12,10,6,1,SimpleHill,0-0,0,0,0-0,7-1;5-0;1-1;3-9;0-10;5-5,3-9,22,22
random,random_robot_12,10,6,1,SimpleHill,0-0,0,1,3-9,1-8;1-11;6-3;0-7;6-0;0-2,1-11,21,-1
random,random_robot_12,10,6,1,SimpleHill,0-0,0,2,1-11,8-4;1-6;8-16;4-5;6-12;5-10,8-16,41,20
random,random_robot_12,10,6,1,SimpleHill,0-0,0,3,8-16,3-22;15-14;8-6;13-23;11-13;3-12,13-23,58,17
random,random_robot_12,10,6,1,SimpleHill,0-0,0,4,13-23,12-16;16-21;9-18;16-15;5-24;15-29,15-29,66,8
random,random_robot_12,10,6,1,SimpleHill,0-0,0,5,15-29,6-27;18-24;24-30;24-32;12-31;13-27,24-32,80,14
random,random_robot_12,10,6,1,SimpleHill,0-0,0,6,24-32,27-31;21-29;22-23;26-27;25-40;27-36,25-40,85,5
random,random_robot_12,10,6,1,SimpleHill,0-0,0,7,25-40,29-32;24-35;25-40;16-44;28-32;26-35,25-40,85,0
random,random_robot_12,10,6,1,SimpleHill,0-0,0,8,25-40,21-49;24-32;20-44;33-35;20-47;31-39,31-39,90,5
random,random_robot_12,10,6,1,SimpleHill,0-0,0,9,31-39,39-33;38-41;31-46;24-35;36-31;27-39,38-41,95,5
random,random_robot_12,10,6,1,SimpleHill,0-0,0,10,38-41,38-33;38-51;32-36;46-35;42-42;41-42,38-51,97,2
random,random_robot_12,10,6,1,SimpleHill,0-0,0,11,38-51,46-54;31-47;34-57;37-42;41-51;38-54,46-54,99,2
random,random_robot_12,10,6,1,SimpleHill,0-0,0,12,46-54,39-52;52-46;51-52;46-61;45-58;44-58,51-52,99,0
random,random_robot_12,10,6,1,SimpleHill,0-0,0,13,51-52,51-53;45-56;54-56;45-59;53-56;55-61,51-53,99,0
random,random_robot_12,10,6,1,SimpleHill,0-0,0,14,51-53,55-46;46-47;55-45;58-55;53-45;58-47,55-46,99,0
random,random_robot_12,10,6,1,SimpleHill,0-0,0,15,55-46,58-55;60-53;50-49;52-44;48-44;46-43,48-44,99,0
random,random_robot_12,10,6,1,SimpleHill,0-0,0,16,48-44,47-50;53-44;40-50;48-47;43-52;40-47,47-50,99,0
random,random_robot_12,10,6,1,SimpleHill,0-0,0,17,47-50,40-54;55-51;48-53;56-49;46-41;43-42,48-53,99,0
random,random_robot_12,10,6,1,SimpleHill,0-0,0,18,48-53,53-59;56-59;41-52;49-53;41-57;48-62,49-53,99,0
random,random_robot_12,10,6,1,SimpleHill,0-0,0,19,49-53,45-56;43-58;48-58;53-44;51-58;45-49,45-49,99,0
random,random_robot_12,10,6,1,SimpleHill,0-0,0,20,45-49,41-51;52-49;54-51;41-47;40-48;37-54,52-49,99,0
random,random_robot_12,10,6,1,SimpleHill,0-0,0,21,52-49,55-54;46-45;53-56;50-44;52-42;56-44,55-54,99,0
random,random_robot_12,10,6,1,SimpleHill,0-0,0,22,55-54,60-49;50-46;52-53;52-45;59-48;57-53,50-46,99,0
random,random_robot_12,10,6,1,SimpleHill,0-0,0,23,50-46,56-42;42-43;52-43;47-39;52-38;41-48,56-42,98,-1
random,random_robot_12,10,6,1,SimpleHill,0-0,0,24,56-42,54-47;50-36;61-43;59-36;61-39;58-40,54-47,99,1
random,random_robot_12,10,6,1,SimpleHill,0-0,0,25,54-47,58-56;55-56;52-45;62-51;60-50;49-55,49-55,99,0
random,random_robot_12,10,6,1,SimpleHill,0-0,0,26,49-55,54-62;45-53;54-48;51-55;44-57;46-53,45-53,99,0
random,random_robot_12,10,6,1,SimpleHill,0-0,0,27,45-53,41-54;51-46;38-60;42-56;46-54;38-58,46-54,99,0
random,random_robot_12,10,6,1,SimpleHill,0-0,0,28,46-54,45-56;44-48;41-61;43-50;48-63;44-46,43-50,99,0
random,random_robot_12,10,6,1,SimpleHill,0-0,0,29,43-50,51-44;41-59;43-47;47-56;48-42;44-42,51-44,99,0
random,random_robot_12,10,6,1,SimpleHill,0-0,0,30,51-44,56-51;43-42;55-35;51-48;42-40;52-47,56-51,99,0
random,random_robot_12,10,6,1,SimpleHill,0-0,0,31,56-51,56-59;61-50;61-54;60-59;47-48;51-53,47-48,99,0
random,random_robot_12,10,6,1,SimpleHill,0-0,0,32,47-48,54-50;51-48;50-57;55-48;55-52;47-40,54-50,99,0
random,random_robot_12,10,6,1,SimpleHill,0-0,0,33,54-50,57-49;49-55;58-57;46-56;50-50;60-56,50-50,100,1
random,random_robot_12,10,6,1,SimpleHill,0-0,0,34,50-50,52-49;50-55;41-46;46-44;41-51;50-49,52-49,99,-1
random,random_robot_12,10,6,1,SimpleHill,0-0,0,35,52-49,55-50;50-53;52-45;51-53;51-50;51-47,55-50,99,0
random,random_robot_12,10,6,1,SimpleHill,0-0,0,36,55-50,48-49;47-54;55-58;56-45;49-48;56-41,48-49,99,0
random,random_robot_12,10,6,1,SimpleHill,0-0,0,37,48-49,50-47;43-53;56-44;47-48;54-57;52-48,50-47,99,0
random,random_robot_12,10,6,1,SimpleHill,0-0,0,38,50-47,46-50;56-54;41-46;50-43;47-41;51-49,46-50,99,0
random,random_robot_12,10,6,1,SimpleHill,0-0,0,39,46-50,50-48;53-56;56-50;54-52;44-50;55-52,50-48,99,0
