simulation_type,subj_id,sight_radius,n_gabors,block_ix,landscape_name,starting_pos,starting_score,trial,pos,stims,selected,score,delta
random,random_robot_4,10,6,1,SimpleHill,0-0,0,0,0-0,1-6;7-4;10-0;9-0;0-3;5-8,10-0,18,18
random,random_robot_4,10,6,1,SimpleHill,0-0,0,1,10-0,7-9;17-0;15-0;8-4;7-3;3-0,3-0,5,-13
random,random_robot_4,10,6,1,SimpleHill,0-0,0,2,3-0,2-3;0-0;0-1;5-7;1-0;4-5,0-0,0,-5
random,random_robot_4,10,6,1,SimpleHill,0-0,0,3,0-0,7-0;5-1;1-8;0-6;1-5;4-2,7-0,13,13
random,random_robot_4,10,6,1,SimpleHill,0-0,0,4,7-0,3-9;0-5;4-5;4-6;3-0;12-1,3-9,22,9
random,random_robot_4,10,6,1,SimpleHill,0-0,0,5,3-9,2-7;1-9;8-11;7-13;4-7;11-10,8-11,34,12
random,random_robot_4,10,6,1,SimpleHill,0-0,0,6,8-11,10-3;4-14;14-17;7-16;8-3;11-19,4-14,31,-3
random,random_robot_4,10,6,1,SimpleHill,0-0,0,7,4-14,6-18;9-20;7-13;8-19;11-12;9-15,7-13,35,4
random,random_robot_4,10,6,1,SimpleHill,0-0,0,8,7-13,7-4;11-21;3-5;2-17;12-9;0-14,12-9,37,2
random,random_robot_4,10,6,1,SimpleHill,0-0,0,9,12-9,17-5;14-7;19-16;14-2;21-13;14-6,14-6,35,-2
random,random_robot_4,10,6,1,SimpleHill,0-0,0,10,14-6,18-9;20-3;22-0;21-12;18-5;8-2,20-3,37,2
random,random_robot_4,10,6,1,SimpleHill,0-0,0,11,20-3,27-5;24-2;17-1;15-11;24-5;17-7,27-5,48,11
random,random_robot_4,10,6,1,SimpleHill,0-0,0,12,27-5,35-3;26-0;25-7;21-3;29-5;31-7,29-5,50,2
random,random_robot_4,10,6,1,SimpleHill,0-0,0,13,29-5,27-7;23-6;27-9;30-9;30-0;31-5,27-9,55,5
random,random_robot_4,10,6,1,SimpleHill,0-0,0,14,27-9,30-4;25-9;33-12;36-5;25-1;24-17,25-1,39,-16
random,random_robot_4,10,6,1,SimpleHill,0-0,0,15,25-1,23-1;23-7;20-3;31-5;26-8;28-6,20-3,37,-2
random,random_robot_4,10,6,1,SimpleHill,0-0,0,16,20-3,11-4;29-7;24-5;17-0;11-6;22-1,11-6,30,-7
random,random_robot_4,10,6,1,SimpleHill,0-0,0,17,11-6,14-4;9-2;17-12;16-3;17-9;18-2,16-3,32,2
random,random_robot_4,10,6,1,SimpleHill,0-0,0,18,16-3,19-9;7-5;21-11;8-6;17-11;23-2,19-9,47,15
random,random_robot_4,10,6,1,SimpleHill,0-0,0,19,19-9,26-5;13-14;24-6;22-0;14-13;12-16,12-16,48,1
random,random_robot_4,10,6,1,SimpleHill,0-0,0,20,12-16,16-24;4-15;14-19;12-25;5-14;14-25,14-25,61,13
random,random_robot_4,10,6,1,SimpleHill,0-0,0,21,14-25,17-30;17-20;17-22;17-24;11-25;15-27,17-20,60,-1
random,random_robot_4,10,6,1,SimpleHill,0-0,0,22,17-20,20-26;9-23;8-21;16-21;13-18;13-27,13-27,62,2
random,random_robot_4,10,6,1,SimpleHill,0-0,0,23,13-27,18-19;3-27;16-23;20-25;14-24;14-23,18-19,60,-2
random,random_robot_4,10,6,1,SimpleHill,0-0,0,24,18-19,13-25;28-19;22-20;25-16;16-26;14-23,22-20,66,6
random,random_robot_4,10,6,1,SimpleHill,0-0,0,25,22-20,16-18;21-12;24-18;29-20;26-26;23-13,23-13,58,-8
random,random_robot_4,10,6,1,SimpleHill,0-0,0,26,23-13,28-21;20-8;27-22;27-18;17-6;19-8,28-21,73,15
